1749746065.982742 server started (27205): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1749746065.982808 on Linux 6.6.87.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Mon Apr 21 17:08:54 UTC 2025
1749746065.982819 using libevent 2.1.12-stable poll
1749746065.982825 using ncurses 6.5 20250125
1749746066.132887 peer 0x70b893f45a40 message 105
1749746066.132897 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_right= #{prefix}#{mouse}#{pairing}#{synchronized}#{?battery_status,#{battery_status},}#{?battery_bar, #{battery_bar},}#{?battery_percentage, #{battery_percentage},} , %R , %d %b | #{username}#{root} | #{hostname} 
1749746066.132900 peer 0x70b893f45a40 message 105
1749746066.132903 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_status_discharging=\342\206\223
1749746066.132906 peer 0x70b893f45a40 message 105
1749746066.132909 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_bg=#080808
1749746066.132911 peer 0x70b893f45a40 message 105
1749746066.132914 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_synchronized_attr=none
1749746066.132916 peer 0x70b893f45a40 message 105
1749746066.132919 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_bar_symbol_full=\342\227\274
1749746066.132922 peer 0x70b893f45a40 message 105
1749746066.132924 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pane_border=#303030
1749746066.132927 peer 0x70b893f45a40 message 105
1749746066.132930 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_activity_fg=default
1749746066.132932 peer 0x70b893f45a40 message 105
1749746066.132935 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_bg=#080808
1749746066.132938 peer 0x70b893f45a40 message 105
1749746066.132940 client 0x70b893eda800 IDENTIFY_ENVIRON HOME=/home/sergiop
1749746066.132943 peer 0x70b893f45a40 message 105
1749746066.132946 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_bar_symbol_empty=\342\227\273
1749746066.132948 peer 0x70b893f45a40 message 105
1749746066.132951 client 0x70b893eda800 IDENTIFY_ENVIRON LANG=en_US.UTF-8
1749746066.132953 peer 0x70b893f45a40 message 105
1749746066.132956 client 0x70b893eda800 IDENTIFY_ENVIRON WSL_INTEROP=/run/WSL/901_interop
1749746066.132959 peer 0x70b893f45a40 message 105
1749746066.132976 client 0x70b893eda800 IDENTIFY_ENVIRON LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.7z=01;31:*.ace=01;31:*.alz=01;31:*.apk=01;31:*.arc=01;31:*.arj=01;31:*.bz=01;31:*.bz2=01;31:*.cab=01;31:*.cpio=01;31:*.crate=01;31:*.deb=01;31:*.drpm=01;31:*.dwm=01;31:*.dz=01;31:*.ear=01;31:*.egg=01;31:*.esd=01;31:*.gz=01;31:*.jar=01;31:*.lha=01;31:*.lrz=01;31:*.lz=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.lzo=01;31:*.pyz=01;31:*.rar=01;31:*.rpm=01;31:*.rz=01;31:*.sar=01;31:*.swm=01;31:*.t7z=01;31:*.tar=01;31:*.taz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tgz=01;31:*.tlz=01;31:*.txz=01;31:*.tz=01;31:*.tzo=01;31:*.tzst=01;31:*.udeb=01;31:*.war=01;31:*.whl=01;31:*.wim=01;31:*.xz=01;31:*.z=01;31:*.zip=01;31:*.zoo=01;31:*.zst=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:
1749746066.132979 peer 0x70b893f45a40 message 105
1749746066.132982 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pairing=\342\232\207
1749746066.132985 peer 0x70b893f45a40 message 105
1749746066.132993 client 0x70b893eda800 IDENTIFY_ENVIRON WAYLAND_DISPLAY=wayland-0
1749746066.132995 peer 0x70b893f45a40 message 105
1749746066.132998 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_fg=#080808
1749746066.133001 peer 0x70b893f45a40 message 105
1749746066.133003 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pane_indicator=#00afff
1749746066.133006 peer 0x70b893f45a40 message 105
1749746066.133009 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_last_attr=none
1749746066.133011 peer 0x70b893f45a40 message 105
1749746066.133014 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_right_bg=#080808,#d70000,#e4e4e4
1749746066.133017 peer 0x70b893f45a40 message 105
1749746066.133019 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_command_bg=#080808
1749746066.133022 peer 0x70b893f45a40 message 105
1749746066.133025 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_focused_pane_bg=#303030
1749746066.133027 peer 0x70b893f45a40 message 105
1749746066.133030 client 0x70b893eda800 IDENTIFY_ENVIRON TMUX_CONF_LOCAL=/home/sergiop/.tmux.conf.local
1749746066.133032 peer 0x70b893f45a40 message 105
1749746066.133035 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_synchronized_bg=none
1749746066.133038 peer 0x70b893f45a40 message 105
1749746066.133040 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pairing_fg=none
1749746066.133043 peer 0x70b893f45a40 message 105
1749746066.133046 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_fg=default
1749746066.133048 peer 0x70b893f45a40 message 105
1749746066.133051 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_preserve_stock_bindings=false
1749746066.133053 peer 0x70b893f45a40 message 105
1749746066.133056 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_current_bg=#00afff
1749746066.133059 peer 0x70b893f45a40 message 105
1749746066.133061 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mouse_bg=none
1749746066.133064 peer 0x70b893f45a40 message 105
1749746066.133067 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pane_active_border=#{?pane_in_mode,#ffff00,#{?synchronize-panes,#d70000,#00afff}}
1749746066.133070 peer 0x70b893f45a40 message 105
1749746066.133073 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mouse_attr=none
1749746066.133085 peer 0x70b893f45a40 message 105
1749746066.133088 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_bar_palette=gradient
1749746066.133091 peer 0x70b893f45a40 message 105
1749746066.133094 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_clock_style=24
1749746066.133096 peer 0x70b893f45a40 message 105
1749746066.133099 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_attr=bold
1749746066.133102 peer 0x70b893f45a40 message 105
1749746066.133105 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_new_session_retain_current_path=false
1749746066.133107 peer 0x70b893f45a40 message 105
1749746066.133110 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_right_separator_main=\\uE0B2
1749746066.133112 peer 0x70b893f45a40 message 105
1749746066.133115 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mode_fg=#080808
1749746066.133117 peer 0x70b893f45a40 message 105
1749746066.133120 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_attr=none
1749746066.133123 peer 0x70b893f45a40 message 105
1749746066.133125 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_left_attr=bold,none,none
1749746066.133128 peer 0x70b893f45a40 message 105
1749746066.133132 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_current_format=#I #W#{?#{||:#{window_bell_flag},#{window_zoomed_flag}}, ,}#{?window_bell_flag,!,}#{?window_zoomed_flag,Z,}
1749746066.133134 peer 0x70b893f45a40 message 105
1749746066.133137 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_synchronized=\342\232\217
1749746066.133140 peer 0x70b893f45a40 message 105
1749746066.133143 client 0x70b893eda800 IDENTIFY_ENVIRON TERM=xterm-256color
1749746066.133145 peer 0x70b893f45a40 message 105
1749746066.133155 client 0x70b893eda800 IDENTIFY_ENVIRON ZSH=/home/sergiop/.oh-my-zsh
1749746066.133158 peer 0x70b893f45a40 message 105
1749746066.133161 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_right_separator_sub=\\uE0B3
1749746066.133163 peer 0x70b893f45a40 message 105
1749746066.133166 client 0x70b893eda800 IDENTIFY_ENVIRON USER=sergiop
1749746066.133168 peer 0x70b893f45a40 message 105
1749746066.133171 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_prefix_fg=none
1749746066.133173 peer 0x70b893f45a40 message 105
1749746066.133176 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_copy_to_os_clipboard=false
1749746066.133179 peer 0x70b893f45a40 message 105
1749746066.133181 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_current_attr=bold
1749746066.133184 peer 0x70b893f45a40 message 105
1749746066.133188 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_format=#I #W#{?#{||:#{window_bell_flag},#{window_zoomed_flag}}, ,}#{?window_bell_flag,!,}#{?window_zoomed_flag,Z,}
1749746066.133190 peer 0x70b893f45a40 message 105
1749746066.133193 client 0x70b893eda800 IDENTIFY_ENVIRON TMUX_SOCKET=/tmp/tmux-1000/default
1749746066.133195 peer 0x70b893f45a40 message 105
1749746066.133198 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_fg=#8a8a8a
1749746066.133201 peer 0x70b893f45a40 message 105
1749746066.133203 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_last_fg=#00afff
1749746066.133206 peer 0x70b893f45a40 message 105
1749746066.133209 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_terminal_title=#h \342\235\220 #S \342\227\217 #I #W
1749746066.133211 peer 0x70b893f45a40 message 105
1749746066.133214 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_bell_fg=#ffff00
1749746066.133216 peer 0x70b893f45a40 message 105
1749746066.133219 client 0x70b893eda800 IDENTIFY_ENVIRON DISPLAY=:0
1749746066.133222 peer 0x70b893f45a40 message 105
1749746066.133224 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_hbar_palette=gradient
1749746066.133227 peer 0x70b893f45a40 message 105
1749746066.133230 client 0x70b893eda800 IDENTIFY_ENVIRON SHLVL=2
1749746066.133232 peer 0x70b893f45a40 message 105
1749746066.133235 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_uninstall_plugins_on_reload=true
1749746066.133237 peer 0x70b893f45a40 message 105
1749746066.133240 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_urlscan_options=--compact --dedupe
1749746066.133243 peer 0x70b893f45a40 message 105
1749746066.133245 client 0x70b893eda800 IDENTIFY_ENVIRON PAGER=less
1749746066.133248 peer 0x70b893f45a40 message 105
1749746066.133251 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_activity_bg=default
1749746066.133253 peer 0x70b893f45a40 message 105
1749746066.133256 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_left_fg=#080808,#e4e4e4,#080808
1749746066.133259 peer 0x70b893f45a40 message 105
1749746066.133261 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_root=!
1749746066.133263 peer 0x70b893f45a40 message 105
1749746066.133265 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_right_fg=#8a8a8a,#e4e4e4,#080808
1749746066.133267 peer 0x70b893f45a40 message 105
1749746066.133269 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_command_fg=#ffff00
1749746066.133271 peer 0x70b893f45a40 message 105
1749746066.133274 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_prefix=\342\214\250
1749746066.133275 peer 0x70b893f45a40 message 105
1749746066.133278 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pairing_bg=none
1749746066.133280 peer 0x70b893f45a40 message 105
1749746066.133282 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_fg=#8a8a8a
1749746066.133284 peer 0x70b893f45a40 message 105
1749746066.133286 client 0x70b893eda800 IDENTIFY_ENVIRON TMUX_PROGRAM=/usr/bin/tmux
1749746066.133288 peer 0x70b893f45a40 message 105
1749746066.133291 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_24b_colour=auto
1749746066.133293 peer 0x70b893f45a40 message 105
1749746066.133299 client 0x70b893eda800 IDENTIFY_ENVIRON XDG_RUNTIME_DIR=/run/user/1000/
1749746066.133301 peer 0x70b893f45a40 message 105
1749746066.133303 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_current_fg=#080808
1749746066.133305 peer 0x70b893f45a40 message 105
1749746066.133308 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mouse=\342\206\227
1749746066.133309 peer 0x70b893f45a40 message 105
1749746066.133312 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_status_bell_attr=blink,bold
1749746066.133314 peer 0x70b893f45a40 message 105
1749746066.133316 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_status_charging=\342\206\221
1749746066.133318 peer 0x70b893f45a40 message 105
1749746066.133320 client 0x70b893eda800 IDENTIFY_ENVIRON WSLENV=WT_SESSION:WT_PROFILE_ID:
1749746066.133322 peer 0x70b893f45a40 message 105
1749746066.133324 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_window_bg=default
1749746066.133326 peer 0x70b893f45a40 message 105
1749746066.133329 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_root_bg=none
1749746066.133330 peer 0x70b893f45a40 message 105
1749746066.133333 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pane_border_style=thin
1749746066.133335 peer 0x70b893f45a40 message 105
1749746066.133337 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_right_attr=none,none,bold
1749746066.133339 peer 0x70b893f45a40 message 105
1749746066.133341 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_command_attr=bold
1749746066.133343 peer 0x70b893f45a40 message 105
1749746066.133345 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_new_pane_retain_current_path=true
1749746066.133347 peer 0x70b893f45a40 message 105
1749746066.133350 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_status_left= \357\214\247 #S |  \357\222\274 #{cpu_percentage} | \356\277\205 #{ram_percentage} 
1749746066.133352 peer 0x70b893f45a40 message 105
1749746066.133361 client 0x70b893eda800 IDENTIFY_ENVIRON PATH=/home/sergiop/.local/bin:/home/sergiop/go/bin:/home/sergiop/.local/bin:/home/sergiop/.local/bin:/home/sergiop/go/bin:/home/sergiop/.local/bin:/home/sergiop/.local/bin:/home/sergiop/.local/bin:/home/sergiop/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/Microsoft SQL Server/150/Tools/Binn/:/mnt/c/Program Files/Microsoft SQL Server/Client SDK/ODBC/170/Tools/Binn/:/mnt/c/Program Files/dotnet/:/mnt/c/Program Files (x86)/Windows Kits/10/Windows Performance Toolkit/:/mnt/c/Users/Sergio Pozo/AppData/Local/Programs/Eclipse Adoptium/jdk-21.0.6.7-hotspot/bin:/mnt/c/Users/Sergio Pozo/AppData/Local/Microsoft/WindowsApps:/mnt/c/Users/Sergio Pozo/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/Users/Sergio Pozo/.dotnet/tools:/home/sergiop/Downloads/fzf/bin
1749746066.133363 peer 0x70b893f45a40 message 105
1749746066.133390 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_synchronized_fg=none
1749746066.133393 peer 0x70b893f45a40 message 105
1749746066.133396 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_pairing_attr=none
1749746066.133398 peer 0x70b893f45a40 message 105
1749746066.133400 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_prefix_attr=none
1749746066.133407 peer 0x70b893f45a40 message 105
1749746066.133410 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_vbar_palette=gradient
1749746066.133411 peer 0x70b893f45a40 message 105
1749746066.133414 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_highlight_focused_pane=false
1749746066.133416 peer 0x70b893f45a40 message 105
1749746066.133418 client 0x70b893eda800 IDENTIFY_ENVIRON DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/1000/bus
1749746066.133420 peer 0x70b893f45a40 message 105
1749746066.133423 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_13=#e4e4e4
1749746066.133429 peer 0x70b893f45a40 message 105
1749746066.133432 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_12=#8a8a8a
1749746066.133433 peer 0x70b893f45a40 message 105
1749746066.133436 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_11=#5fff00
1749746066.133438 peer 0x70b893f45a40 message 105
1749746066.133440 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_10=#ff00af
1749746066.133442 peer 0x70b893f45a40 message 105
1749746066.133444 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_17=#e4e4e4
1749746066.133446 peer 0x70b893f45a40 message 105
1749746066.133448 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_16=#d70000
1749746066.133450 peer 0x70b893f45a40 message 105
1749746066.133453 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mode_attr=bold
1749746066.133455 peer 0x70b893f45a40 message 105
1749746066.133457 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_15=#080808
1749746066.133459 peer 0x70b893f45a40 message 105
1749746066.133461 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_colour_14=#080808
1749746066.133463 peer 0x70b893f45a40 message 105
1749746066.133465 client 0x70b893eda800 IDENTIFY_ENVIRON HOSTTYPE=x86_64
1749746066.133467 peer 0x70b893f45a40 message 105
1749746066.133470 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_battery_bar_length=auto
1749746066.133471 peer 0x70b893f45a40 message 105
1749746066.133474 client 0x70b893eda800 IDENTIFY_ENVIRON WINDIR=/mnt/c/Users/Sergio Pozo
1749746066.133476 peer 0x70b893f45a40 message 105
1749746066.133478 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_new_session_prompt=false
1749746066.133480 peer 0x70b893f45a40 message 105
1749746066.133482 client 0x70b893eda800 IDENTIFY_ENVIRON PULSE_SERVER=unix:/mnt/wslg/PulseServer
1749746066.133484 peer 0x70b893f45a40 message 105
1749746066.133486 client 0x70b893eda800 IDENTIFY_ENVIRON WT_PROFILE_ID={46ca431a-3a87-5fb3-83cd-11ececc031d2}
1749746066.133488 peer 0x70b893f45a40 message 105
1749746066.133491 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_new_pane_reconnect_ssh=false
1749746066.133492 peer 0x70b893f45a40 message 105
1749746066.133495 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_new_window_retain_current_path=false
1749746066.133497 peer 0x70b893f45a40 message 105
1749746066.133499 client 0x70b893eda800 IDENTIFY_ENVIRON OLDPWD=/home/sergiop/Downloads
1749746066.133501 peer 0x70b893f45a40 message 105
1749746066.133503 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_message_bg=#ffff00
1749746066.133505 peer 0x70b893f45a40 message 105
1749746066.133507 client 0x70b893eda800 IDENTIFY_ENVIRON _=/usr/bin/tmux
1749746066.133509 peer 0x70b893f45a40 message 106
1749746066.133512 client 0x70b893eda800 name is client-27244
1749746066.133516 cmdq_next <global>: waiting
1749746066.133518 cmdq_next </dev/pts/0>: waiting
1749746066.133520 cmdq_next <client-27227>: waiting
1749746066.133522 cmdq_next <client-27244>: empty
1749746066.133555 peer 0x70b893f45a40 message 200
1749746066.133558 cmd_unpack_argv: argv[0]=set-environment
1749746066.133560 cmd_unpack_argv: argv[1]=-g
1749746066.133562 cmd_unpack_argv: argv[2]=TMUX_PLUGIN_MANAGER_PATH
1749746066.133564 cmd_unpack_argv: argv[3]=/home/sergiop/.tmux/plugins/
1749746066.133567 cmd_parse_build_commands 0:0: set-environment
1749746066.133569 cmd_parse_build_commands 0:1: -g
1749746066.133571 cmd_parse_build_commands 0:2: TMUX_PLUGIN_MANAGER_PATH
1749746066.133572 cmd_parse_build_commands 0:3: /home/sergiop/.tmux/plugins/
1749746066.133577 args_parse_flags: next -g
1749746066.133579 args_parse_flags: -g
1749746066.133581 args_parse_flags: next TMUX_PLUGIN_MANAGER_PATH
1749746066.133583 args_parse: flags end at 2 of 4
1749746066.133585 args_parse: 2 = TMUX_PLUGIN_MANAGER_PATH (type STRING)
1749746066.133587 args_parse: 3 = /home/sergiop/.tmux/plugins/ (type STRING)
1749746066.133592 cmd_parse_build_commands: set-environment -g TMUX_PLUGIN_MANAGER_PATH /home/sergiop/.tmux/plugins/
1749746066.133595 cmdq_get_command: [set-environment/0x70b893ea2e00] group 3151
1749746066.133602 cmdq_append <client-27244>: [set-environment/0x70b893ea2e00]
1749746066.133604 cmdq_append <client-27244>: [server_client_command_done/0x70b893ea2f00]
1749746066.133607 cmdq_next <global>: waiting
1749746066.133609 cmdq_next </dev/pts/0>: waiting
1749746066.133610 cmdq_next <client-27227>: waiting
1749746066.133612 cmdq_next <client-27244>: enter
1749746066.133615 cmdq_next <client-27244>: [set-environment/0x70b893ea2e00] (0), flags 0
1749746066.133617 cmd_find_best_session: 0 sessions to try
1749746066.133619 cmd_find_current_client: no target, return (nil)
1749746066.133621 cmd_find_best_session: 0 sessions to try
1749746066.133624 cmd_find_target: target none, type session, item 0x70b893ea2e00, flags QUIET,CANFAIL
1749746066.133626 cmd_find_best_session: 0 sessions to try
1749746066.133628 cmd_find_target: error
1749746066.133635 cmd_find_best_session: 0 sessions to try
1749746066.133637 unref client 0x70b893eda800 (3 references)
1749746066.133639 cmdq_next <client-27244>: [server_client_command_done/0x70b893ea2f00] (1), flags 0
1749746066.133641 unref client 0x70b893eda800 (2 references)
1749746066.133643 cmdq_next <client-27244>: exit (empty)
1749746066.133645 cmdq_next <global>: waiting
1749746066.133647 cmdq_next </dev/pts/0>: waiting
1749746066.133649 cmdq_next <client-27227>: waiting
1749746066.133650 cmdq_next <client-27244>: empty
1749746066.133653 sending message 203 to peer 0x70b893f45a40 (4 bytes)
1749746066.133677 cmdq_next <global>: waiting
1749746066.133679 cmdq_next </dev/pts/0>: waiting
1749746066.133681 cmdq_next <client-27227>: waiting
1749746066.133683 cmdq_next <client-27244>: empty
1749746066.134243 lost client 0x70b893eda800
1749746066.134252 remove peer 0x70b893f45a40
1749746066.134262 unref client 0x70b893eda800 (1 references)
1749746066.134265 free client 0x70b893eda800 (0 references)
1749746066.134267 cmdq_next <global>: waiting
1749746066.134269 cmdq_next </dev/pts/0>: waiting
1749746066.134271 cmdq_next <client-27227>: waiting
1749746066.137948 add peer 0x70b893f459c0: 12 (0x70b893eda800)
1749746066.137961 new client 0x70b893eda800
1749746066.137965 cmdq_next <global>: waiting
1749746066.137968 cmdq_next </dev/pts/0>: waiting
1749746066.137970 cmdq_next <client-27227>: waiting
1749746066.138017 peer 0x70b893f459c0 message 111
1749746066.138020 client 0x70b893eda800 IDENTIFY_LONGFLAGS 0x10000
1749746066.138023 peer 0x70b893f459c0 message 111
1749746066.138025 client 0x70b893eda800 IDENTIFY_LONGFLAGS 0x10000
1749746066.138028 peer 0x70b893f459c0 message 101
1749746066.138030 client 0x70b893eda800 IDENTIFY_TERM xterm-256color
1749746066.138033 peer 0x70b893f459c0 message 109
1749746066.138035 client 0x70b893eda800 IDENTIFY_FEATURES 
1749746066.138037 peer 0x70b893f459c0 message 102
1749746066.138040 client 0x70b893eda800 IDENTIFY_TTYNAME 
1749746066.138042 peer 0x70b893f459c0 message 108
1749746066.138049 client 0x70b893eda800 IDENTIFY_CWD /home/sergiop/Downloads/My-parrot-Configurations
1749746066.138051 peer 0x70b893f459c0 message 104
1749746066.138054 client 0x70b893eda800 IDENTIFY_STDIN 13
1749746066.138056 cmdq_next <global>: waiting
1749746066.138059 cmdq_next </dev/pts/0>: waiting
1749746066.138061 cmdq_next <client-27227>: waiting
1749746066.138096 peer 0x70b893f459c0 message 110
1749746066.138099 client 0x70b893eda800 IDENTIFY_STDOUT 14
1749746066.138102 peer 0x70b893f459c0 message 107
1749746066.138104 client 0x70b893eda800 IDENTIFY_CLIENTPID 27246
1749746066.138107 peer 0x70b893f459c0 message 105
1749746066.138110 client 0x70b893eda800 IDENTIFY_ENVIRON SHELL=/bin/sh
1749746066.138112 peer 0x70b893f459c0 message 105
1749746066.138115 client 0x70b893eda800 IDENTIFY_ENVIRON LSCOLORS=Gxfxcxdxbxegedabagacad
1749746066.138117 peer 0x70b893f459c0 message 105
1749746066.138120 client 0x70b893eda800 IDENTIFY_ENVIRON tmux_conf_theme_mode_bg=#ffff00
1749746066.138123 peer 0x70b893f459c0 message 105
